respondent_id,agency_name,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,action_taken_name,action_taken,applicant_ethnicity_name,applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_sex_name,applicant_sex,applicant_income_000s,hud_median_family_income_000s,tract_to_msamd_income,approval_status_name,income_class_name,,Action,Name,Reference
276579,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,160,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Female,2,34,72.5,122.93,,,,1,Loan originated,Approved
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,100,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,117,79.6,96.1399994,,,,2,Application approved but not accepted,Approved
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,92,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Female,2,66,68.1,78.6299973,,,,3,Application denied by financial institution,Denied
619877,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,186,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Male,1,132,73.7,96.2399979,,,,4,Application withdrawn,Incomplete
233031,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,70,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,72,61.4,87.7799988,,,,5,File closed for incompletion,Incomplete
915878,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,112,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,44,67.9,118.709999,,,,6,Loan purchased by the institution,Approved
4186591,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,315,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,105,73.9,134.059998,,,,7,Preapproval request denied by financial institution,Denied
504713,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,404,Application denied by financial institution,3,Not Hispanic or Latino,2,Black or African American,3,Male,1,94,77.5,124.050003,,,,8,Preapproval request approved but not accepted,Incomplete
233031,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,55,Application denied by financial institution,3,Not Hispanic or Latino,2,Black or African American,3,Female,2,46,53,67.2099991,,,,,,
146672,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,221,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Female,2,73,47.3,68.8799973,,,,,,
817824,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,7,Application denied by financial institution,3,Hispanic or Latino,1,American Indian or Alaska Native,1,Male,1,37,58,85.7900009,,,,,,
617677,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,853,Loan originated,1,Not Hispanic or Latino,2,Black or African American,3,Male,1,331,107.6,128.039993,,,,,,
451965,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,157,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,54,63.9,78.3700027,,,,,,
197478,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,585,Loan originated,1,Not Hispanic or Latino,2,Asian,2,Male,1,61,73.7,79.75,,,,,,
146672,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,542,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,302,61.9,174.179993,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,71,Loan originated,1,Not Hispanic or Latino,2,Asian,2,Male,1,31,63.7,85.6999969,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,347,Loan purchased by the institution,6,Not Hispanic or Latino,2,Native Hawaiian or Other Pacific Islander,4,Female,2,68,97.4,73.6399994,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,109,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,58,57.4,52.6500015,,,,,,
504713,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,25,Loan originated,1,Not Hispanic or Latino,2,Asian,2,Male,1,250,77.5,160,,,,,,
480228,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,220,Application denied by financial institution,3,Hispanic or Latino,1,White,5,Female,2,92,61.1,81.8399963,,,,,,
451965,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,194,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Female,2,101,62,116.870003,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,446,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,196,84,142.139999,,,,,,
817824,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,131,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,76,79.6,97.9800034,,,,,,
617677,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,75,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Male,1,74,48.4,102.620003,,,,,,
2735146,Consumer Financial Protection Bureau,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,102,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Female,2,58,74.5,86.1500015,,,,,,
480228,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,310,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,54,91,85.9599991,,,,,,
504713,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,5,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Male,1,45,74.3,66.5899963,,,,,,
619877,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,220,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,82,78.2,92.0400009,,,,,,
497404,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,15,Application denied by financial institution,3,Not Hispanic or Latino,2,Black or African American,3,Male,1,56,57.4,105.620003,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,396,Loan purchased by the institution,6,Not Hispanic or Latino,2,Asian,2,Male,1,76,64.3,117.360001,,,,,,
817824,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,10,Application denied by financial institution,3,Not Hispanic or Latino,2,Asian,2,Male,1,106,73.7,56.9000015,,,,,,
379920,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,10,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,83,56.8,134.559998,,,,,,
