Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1871,M,M,0.05,0.11,0.12,0.07,0.09,0.19,0.07,0.21,0.21,0.1
1872,0.02,0.01,0.05,0.05,0.1,0.2,0.1,0.22,0.1,0.11,0.14,0.08
1873,0.14,0.03,0.09,0.09,0.09,0.05,0.11,0.08,0.13,0.2,0.11,0.06
1874,0.1,0.08,0.04,0.13,0.12,0.1,0.18,0.17,0.09,0.04,0.1,0.03
1875,0.08,0.1,0.12,0.11,0.08,0.18,0.06,0.09,0.12,0.11,0.09,0.05
1876,0.08,0.13,0.17,0.09,0.15,0.09,0.19,0.02,0.14,0.05,0.09,0.08
1877,0.09,0.02,0.19,0.08,0.07,0.11,0.09,0.25,0.04,0.18,0.26,0.04
1878,0.12,0.12,0.07,0.19,0.04,0.1,0.05,0.09,0.04,0.14,0.12,0.17
1879,0.07,0.14,0.14,0.12,0.03,0.22,0.12,0.12,0.09,0.05,0.16,0.11
1880,0.17,0.16,0.05,0.09,0.04,0.1,0.1,0.07,0.11,0.14,0.11,0.1
1881,0.14,0.19,0.16,0.05,0.18,0.13,0.13,0.05,0.09,0.09,0.1,0.22
1882,0.14,0.16,0.13,0.07,0.13,0.11,0.06,0.02,0.25,0.09,0.03,0.08
1883,0.08,0.1,0.05,0.04,0.09,0.1,0.16,0.01,0.09,0.11,0.12,0.08
1884,0.15,0.24,0.16,0.2,0.21,0.05,0.22,0.13,0.02,0.07,0.08,0.21
1885,0.1,0.13,0.05,0.07,0.06,0.14,0.18,0.19,0.05,0.14,0.11,0.09
1886,0.15,0.2,0.11,0.08,0.13,0.06,0.12,0.13,0.19,0.22,0.18,0.16
1887,0.13,0.2,0.13,0.17,0.06,0.14,0.15,0.21,0.02,0.08,0.16,0.17
1888,0.2,0.19,0.12,0.13,0.11,0.09,0.06,0.14,0.27,0.24,0.25,0.15
1889,0.11,0.1,0.09,0.08,0.09,0.11,0.1,0.09,0.08,0.11,0.27,0.16
1890,0.09,0.14,0.2,0.08,0.2,0.15,0.12,0.1,0.16,0.22,0.08,0.16
1891,0.25,0.15,0.18,0.06,0.11,0.09,0.15,0.04,0.06,0.1,0.08,0.13
1892,0.14,0.08,0.07,0.03,0.14,0.15,0.09,0.26,0.1,0.05,0.13,0.04
1893,0.07,0.16,0.12,0.12,0.24,0.12,0.03,0.09,0.08,0.17,0.06,0.17
1894,0.1,0.1,0.06,0.09,0.24,0.07,0.1,0.11,0.09,0.15,0.07,0.06
1895,0.08,0.03,0.11,0.2,0.05,0.07,0.12,0.15,0.06,0.06,0.24,0.11
1896,0.06,0.18,0.26,0.06,0.1,0.07,0.1,0.08,0.32,0.1,0.08,0.07
1897,0.13,0.09,0.15,0.09,0.19,0.17,0.08,0.05,0.08,0.01,0.22,0.14
1898,0.21,0.27,0.04,0.14,0.08,0.13,0.06,0.13,0.12,0.19,0.18,0.09
1899,0.11,0.12,0.21,0.05,0.02,0.03,0.13,0.05,0.15,0.05,0.1,0.09
1900,0.2,0.33,0.19,0.08,0.13,0.04,0.05,0.12,0.09,0.19,0.18,0.08
1901,0.11,0.06,0.21,0.25,0.23,0.03,0.14,0.11,0.07,0.1,0.06,0.23
1902,0.09,0.12,0.28,0.13,0.07,0.13,0.07,0.14,0.14,0.16,0.03,0.21
1903,0.16,0.12,0.18,0.08,0.02,0.18,0.08,0.06,0.07,0.12,0.05,0.11
1904,0.13,0.08,0.08,0.25,0.15,0.08,0.05,0.12,0.12,0.04,0.06,0.05
1905,0.17,0.06,0.06,0.05,0.08,0.1,0.12,0.09,0.18,0.03,0.15,0.18
1906,0.09,0.07,0.16,0.12,0.15,0.24,0.14,0.06,0.02,0.09,0.1,0.15
1907,0.08,0.11,0.08,0.09,0.06,0.12,0.12,0.07,0.26,0.08,0.15,0.13
1908,0.08,0.13,0.07,0.07,0.15,0.02,0.08,0.12,0.02,0.12,0.04,0.09
1909,0.15,0.18,0.09,0.1,0.1,0.08,0.07,0.05,0.16,0.05,0.09,0.07
1910,0.09,0.17,0.05,0.14,0.05,0.11,0.05,0.09,0.1,0.04,0.06,0.11
1911,0.08,0.18,0.18,0.08,0.04,0.09,0.15,0.08,0.09,0.06,0.12,0.14
1912,0.16,0.15,0.2,0.12,0.12,0.02,0.08,0.07,0.1,0.07,0.12,0.13
1913,0.08,0.1,0.17,0.07,0.09,0.02,0.07,0.1,0.12,0.18,0.04,0.14
1914,0.1,0.14,0.14,0.15,0.07,0.08,0.1,0.12,0.02,0.07,0.11,0.1
1915,0.19,0.13,0,0.11,0.07,0.06,0.35,0.19,0.02,0.05,0.09,0.16
1916,0.07,0.15,0.17,0.19,0.18,0.21,0.12,0.07,0.05,0.04,0.1,0.2
1917,0.15,0.12,0.15,0.1,0.1,0.36,0.06,0.15,0.01,0.13,0.03,0.14
1918,0.11,0.09,0.06,0.09,0.06,0.09,0.09,0.15,0.19,0.08,0.11,0.14
1919,0.15,0.08,0.13,0.07,0.17,0.06,0.05,0.06,0.12,0.11,0.16,0.06
1920,0.11,0.31,0.18,0.23,0.1,0.09,0.12,0.12,0.27,0.04,0.2,0.2
1921,0.06,0.15,0.08,0.11,0.07,0.09,0.1,0.08,0.05,0.07,0.23,0.1
1922,0.11,0.18,0.12,0.17,0.18,0.36,0.08,0.09,0.06,0.07,0.04,0.16
1923,M,M,0.13,0.17,0.06,0.1,0.09,M,0.03,0.1,0.09,0.12
1924,0.15,0.13,0.03,0.22,0.14,0.06,0.08,0.11,0.14,0,0.03,0.07
1925,0.19,0.12,0.2,0.08,0.04,0.12,0.08,0.02,0.06,0.15,0.1,0.11
1926,0.11,0.19,0.11,0.09,0.07,0.06,0.07,0.06,0.06,0.14,0.2,0.11
1927,0.14,0.18,0.04,0.04,0.12,0.09,0.13,0.18,0.07,0.09,0.1,0.18
1928,0.09,0.14,0.09,0.17,0.15,0.1,0.08,0.11,0.13,0.07,0.05,0.11
1929,0.13,0.15,0.11,0.15,0.11,0.07,0.06,0.14,0.07,0.1,0.15,0.16
