Website_A Website_B
14.00 47.79
13.93 44.57
18.29 58.20
26.23 35.92
19.70 43.23
19.65 42.94
24.11 51.97
27.73 44.33
24.32 41.54
29.75 42.12
14.92 34.96
18.26 35.83
23.07 41.88
26.75 47.96
17.08 35.23
13.23 36.38
17.75 43.82
13.56 45.54
25.53 48.53
13.65 52.29
23.51 48.07
20.01 43.12
29.49 55.36
15.36 52.05
21.73 44.51
15.57 41.35
20.95 42.34
16.84 37.30
26.49 35.02
26.98 42.71
19.20 46.54
26.63 48.31
13.62 33.54
24.36 32.57
17.96 37.11
11.37 49.43
22.33 50.73
12.63 44.16
21.43 47.10
10.82 41.75
16.76 39.17
28.67 57.26
15.48 45.13
23.88 47.08
24.53 44.83
13.67 45.51
27.43 55.95
19.70 47.03
12.17 30.97
22.70 51.47
20.63 63.89
25.07 47.03
16.01 41.77
10.78 51.09
24.27 35.89
17.18 50.32
22.93 50.54
12.12 42.08
26.05 45.65
12.71 46.78
20.86 38.96
25.43 45.47
23.16 41.74
11.52 53.41
27.73 27.92
19.35 45.84
28.59 48.68
14.19 41.19
20.95 50.93
23.38 49.93
18.31 44.00
18.74 44.48
20.92 53.30
25.76 43.17
23.07 44.37
24.27 47.35
17.00 52.76
14.38 35.85
18.67 58.95
27.60 38.53
29.93 52.87
11.23 47.44
21.77 45.30
24.03 36.71
25.35 49.05
19.84 50.76
28.04 44.38
29.93 43.92
17.43 50.93
11.58 47.56
20.31 47.94
22.52 35.47
21.81 49.56
27.92 36.91
20.01 44.03
29.17 34.15
29.55 49.52
26.93 43.80
12.06 50.96
23.28 52.85
